x,y,z,x_quat,y_quat,z_quat,w_quat
89630.4488,43130.947,0.0,0.0,0.0,0.8649100931188761,0.5019268181927492
89630.4488,43131.147,0.0,0.0,0.0,0.8891676427194976,0.457581580858159
89630.4488,43131.347,0.0,0.0,0.0,0.8891676427194976,0.457581580858159
89630.2488,43131.547,0.0,0.0,0.0,0.8649100931188761,0.5019268181927492
89630.0488,43131.747,0.0,0.0,0.0,0.8649100931194379,0.5019268181917811
89629.8488,43131.947,0.0,0.0,0.0,0.8649100931188761,0.5019268181927492
89629.8488,43132.147,0.0,0.0,0.0,0.8891676427194976,0.457581580858159
89629.6488,43132.347,0.0,0.0,0.0,0.8649100931169096,0.5019268181961378
89629.4488,43132.547,0.0,0.0,0.0,0.8649100931188761,0.5019268181927492
89629.4488,43132.747,0.0,0.0,0.0,0.88916764272006,0.4575815808570662
89629.4488,43132.947,0.0,0.0,0.0,0.8891676427194976,0.457581580858159
89629.2488,43133.147,0.0,0.0,0.0,0.8891676427194976,0.457581580858159
89629.0488,43133.347,0.0,0.0,0.0,0.8649100931188761,0.5019268181927492
89628.8488,43133.547,0.0,0.0,0.0,0.8649100931188761,0.5019268181927492
89628.8488,43133.747,0.0,0.0,0.0,0.88916764272006,0.4575815808570662
89628.6488,43133.947,0.0,0.0,0.0,0.8649100931169096,0.5019268181961378
89628.4488,43134.147,0.0,0.0,0.0,0.8649100931188761,0.5019268181927492
89628.4488,43134.347,0.0,0.0,0.0,0.8649100931188761,0.5019268181927492
89628.2488,43134.547,0.0,0.0,0.0,0.8649100931188761,0.5019268181927492
89628.2488,43134.747,0.0,0.0,0.0,0.88916764272006,0.4575815808570662
89628.0488,43134.947,0.0,0.0,0.0,0.8891676427194976,0.457581580858159
89627.8488,43135.147,0.0,0.0,0.0,0.8649100931188761,0.5019268181927492
89627.8488,43135.347,0.0,0.0,0.0,0.8891676427194976,0.457581580858159
89627.6488,43135.547,0.0,0.0,0.0,0.8891676427194976,0.457581580858159
89627.6488,43135.747,0.0,0.0,0.0,0.9085128984930864,0.41785680953131643
89627.4488,43135.947,0.0,0.0,0.0,0.8891676427194976,0.457581580858159
89627.2488,43136.147,0.0,0.0,0.0,0.8891676427194976,0.457581580858159
89627.0488,43136.347,0.0,0.0,0.0,0.8891676427194976,0.457581580858159
89627.0488,43136.547,0.0,0.0,0.0,0.8891676427194976,0.457581580858159
89626.8488,43136.747,0.0,0.0,0.0,0.88916764272006,0.4575815808570662
89626.6488,43136.947,0.0,0.0,0.0,0.8891676427194976,0.457581580858159
89626.4488,43137.147,0.0,0.0,0.0,0.8649100931188761,0.5019268181927492
89626.4488,43137.347,0.0,0.0,0.0,0.8891676427194976,0.457581580858159
89626.2488,43137.547,0.0,0.0,0.0,0.8649100931188761,0.5019268181927492
89626.0488,43137.747,0.0,0.0,0.0,0.8649100931194379,0.5019268181917811
89626.0488,43137.947,0.0,0.0,0.0,0.8891676427194976,0.457581580858159
89625.8488,43138.147,0.0,0.0,0.0,0.8649100931188761,0.5019268181927492
89625.6488,43138.347,0.0,0.0,0.0,0.8649100931169096,0.5019268181961378
89625.6488,43138.547,0.0,0.0,0.0,0.8649100931169096,0.5019268181961378
89625.4488,43138.747,0.0,0.0,0.0,0.8649100931194379,0.5019268181917811
89625.4488,43138.947,0.0,0.0,0.0,0.8891676427194976,0.457581580858159
89625.2488,43139.147,0.0,0.0,0.0,0.8891676427194976,0.457581580858159
89625.0488,43139.347,0.0,0.0,0.0,0.8891676427194976,0.457581580858159
89625.0488,43139.547,0.0,0.0,0.0,0.8891676427194976,0.457581580858159
