local_x,local_y,local_z
89630.8767,43131.2075,43.1
89630.2198,43131.9671,43.1
89629.5673,43132.7228,43.1
89628.9202,43133.4754,43.1
89628.2701,43134.237,43.1
89627.6249,43134.9986,43.1
89626.9845,43135.7598,43.1
89626.3446,43136.5253,43.1
89625.7072,43137.2929,43.1
89625.0722,43138.0631,43.1
89624.4413,43138.8346,43.1
89623.8139,43139.6106,43.1
89623.1915,43140.3927,43.1
89622.5768,43141.1803,43.1
89621.9704,43141.974,43.1
89621.373,43142.7729,43.1
89620.7818,43143.5812,43.1
89620.2013,43144.3949,43.1
89619.6344,43145.2122,43.1
89619.0766,43146.0422,43.1
89618.5327,43146.88,43.1
89618.005,43147.7234,43.1
89617.4943,43148.5724,43.1
89616.9978,43149.4332,43.1
89616.5125,43150.3133,43.1
89616.0529,43151.1876,43.1
89615.6133,43152.0801,43.1
89615.2002,43153.0006,43.1
89614.8287,43153.9375,43.1
89614.5049,43154.8887,43.1
89614.2354,43155.8474,43.1
89614.0243,43156.8267,43.1
89613.8826,43157.8211,43.1
89613.8184,43158.8071,43.1
89613.8353,43159.8248,43.1
89613.9338,43160.8539,43.1
89614.0947,43161.805,43.1
89614.3569,43162.8251,43.1
89614.7096,43163.7149,43.1
89615.1888,43164.4766,43.1
89615.9503,43165.1485,43.1
89616.7667,43165.6062,43.1
89617.7144,43165.9737,43.1
89618.7554,43166.1978,43.1
89619.7376,43166.2299,43.1
89620.726,43166.0921,43.1
89621.69,43165.7862,43.1
89622.5641,43165.345,43.1
89623.3866,43164.7785,43.1
89624.149,43164.1115,43.1
89624.8369,43163.3764,43.1
89625.4571,43162.5886,43.1
89626.0141,43161.7648,43.1
89626.5244,43160.8991,43.1
89626.9891,43160.0059,43.1
89627.4087,43159.1108,43.1
89627.8023,43158.2046,43.1
89628.1797,43157.2815,43.1
89628.5367,43156.3528,43.1
89628.8747,43155.4173,43.1
89629.1968,43154.4758,43.1
89629.5098,43153.524,43.1
89629.8167,43152.5677,43.1
89630.1206,43151.6123,43.1
89630.4246,43150.6627,43.1
89630.7338,43149.7169,43.1
89631.0549,43148.7691,43.1
89631.3875,43147.8309,43.1
89631.7353,43146.9014,43.1
89632.1037,43145.9808,43.1
89632.5038,43145.0648,43.1
89632.9406,43144.1631,43.1
89633.4131,43143.291,43.1
89633.9342,43142.4358,43.1
89634.5039,43141.6106,43.1
89635.1156,43140.8337,43.1
89635.7841,43140.094,43.1
89636.5142,43139.3956,43.1
89637.3019,43138.7491,43.1
89638.1316,43138.1724,43.1
89638.9794,43137.6902,43.1
89639.9447,43137.2823,43.1
89640.9132,43137.0347,43.1
89641.8476,43136.9666,43.1
89642.852,43137.1087,43.1
89643.7757,43137.4363,43.1
89644.6691,43137.9237,43.1
89645.4407,43138.5404,43.1
89646.0178,43139.2843,43.1
89646.3833,43140.1982,43.1
89646.5471,43141.1714,43.1
89646.5831,43142.1491,43.1
89646.5165,43143.1994,43.1
89646.3591,43144.1996,43.1
89646.1251,43145.1706,43.1
89645.8245,43146.1278,43.1
89645.4675,43147.0687,43.1
89645.0682,43147.9878,43.1
89644.6434,43148.8849,43.1
89644.2012,43149.7769,43.1
89643.7473,43150.6655,43.1
89643.282,43151.5455,43.1
89642.8037,43152.4173,43.1
89642.3118,43153.2838,43.1
89641.8078,43154.1487,43.1
89641.2975,43155.0077,43.1
89640.7821,43155.8615,43.1
89640.2592,43156.7129,43.1
89639.7291,43157.5607,43.1
89639.1917,43158.4035,43.1
89638.6467,43159.2393,43.1
89638.0918,43160.0698,43.1
89637.5265,43160.8947,43.1
89636.9547,43161.7106,43.1
89636.375,43162.5215,43.1
89635.7861,43163.3285,43.1
89635.1883,43164.1268,43.1
89634.5812,43164.9128,43.1
89633.9642,43165.6893,43.1
89633.3353,43166.4673,43.1
89632.7043,43167.2432,43.1
89632.0755,43168.0131,43.1
89631.4359,43168.7855,43.1
89630.7807,43169.5579,43.1
89630.1072,43170.3266,43.1
89629.4369,43171.0629,43.1
89628.7623,43171.7698,43.1
89628.0399,43172.4677,43.1
89627.2836,43173.0946,43.1
89626.4742,43173.6375,43.1
89625.6134,43174.1208,43.1
89624.7107,43174.5919,43.1
89623.807,43175.0756,43.1
89622.9266,43175.578,43.1
89622.0855,43176.0897,43.1
89621.2599,43176.6315,43.1
89620.4866,43177.2334,43.1
89619.7895,43177.9589,43.1
89619.2621,43178.7224,43.1
89618.8285,43179.61,43.1
89618.5194,43180.6146,43.1
89618.3768,43181.6144,43.1
89618.3806,43182.6154,43.1
89618.5312,43183.6129,43.1
89618.8379,43184.5617,43.1
89619.3244,43185.4529,43.1
89619.957,43186.2292,43.1
89620.7025,43186.877,43.1
89621.5397,43187.3888,43.1
89622.4525,43187.7635,43.1
89623.4149,43188.0133,43.1
89624.4164,43188.1627,43.1
89625.4614,43188.2334,43.1
89626.4896,43188.2291,43.1
89627.4514,43188.1527,43.1
89628.466,43187.9692,43.1
89629.4232,43187.6661,43.1
89630.2555,43187.3032,43.1
89631.1053,43186.8718,43.1
89631.9988,43186.3565,43.1
89632.7873,43185.8615,43.1
89633.6192,43185.3127,43.1
89634.5035,43184.7069,43.1
89635.3535,43184.1103,43.1
89636.1977,43183.5291,43.1
89637.0166,43183.008,43.1
89637.9389,43182.5211,43.1
89638.8619,43182.161,43.1
89639.7561,43181.9142,43.1
89640.7168,43181.7359,43.1
89641.733,43181.647,43.1
89642.6783,43181.6444,43.1
89643.6885,43181.7144,43.1
89644.7017,43181.856,43.1
89645.6621,43182.0547,43.1
89646.6371,43182.3174,43.1
89647.595,43182.6344,43.1
89648.5176,43182.9899,43.1
89649.441,43183.384,43.1
89650.3624,43183.8044,43.1
89651.2755,43184.2358,43.1
89652.18,43184.6646,43.1
89653.0745,43185.0765,43.1
89654.0428,43185.4915,43.1
89654.9734,43185.841,43.1
89655.8947,43186.1143,43.1
89656.9058,43186.2937,43.1
89657.8616,43186.3164,43.1
89658.8524,43186.1668,43.1
89659.7918,43185.8522,43.1
89660.6629,43185.3756,43.1
89661.3908,43184.7076,43.1
89661.887,43183.8714,43.1
89662.1734,43182.9058,43.1
89662.2519,43181.8784,43.1
89662.1151,43180.8793,43.1
89661.7616,43179.9947,43.1
89661.1758,43179.2439,43.1
89660.3831,43178.5702,43.1
89659.6079,43178.0218,43.1
89658.7498,43177.4624,43.1
89657.8676,43176.9082,43.1
89657.0032,43176.3762,43.1
89656.1509,43175.8719,43.1
89655.2968,43175.399,43.1
89654.4231,43174.9557,43.1
