local_x,local_y,local_z
89656.2676,43130.4067,43.1
89656.2205,43129.4413,43.1
89656.0935,43128.3962,43.1
89655.875,43127.4419,43.1
89655.5461,43126.5428,43.1
89655.0822,43125.6707,43.1
89654.4945,43124.8535,43.1
89653.8327,43124.1279,43.1
89653.0817,43123.4611,43.1
89652.2588,43122.8744,43.1
89651.3847,43122.3859,43.1
89650.4682,43121.9989,43.1
89649.5208,43121.7198,43.1
89648.5438,43121.5568,43.1
89647.5369,43121.5171,43.1
89646.582,43121.5873,43.1
89645.5908,43121.7392,43.1
89644.578,43121.9459,43.1
89643.613,43122.172,43.1
89642.6401,43122.4271,43.1
89641.6792,43122.7088,43.1
89640.6827,43123.0392,43.1
89639.7465,43123.3992,43.1
89638.8887,43123.7937,43.1
89637.9978,43124.3047,43.1
89637.1975,43124.864,43.1
89636.4426,43125.4619,43.1
89635.6962,43126.1044,43.1
89634.937,43126.8074,43.1
89634.2514,43127.4813,43.1
89633.5531,43128.2019,43.1
89632.8534,43128.9559,43.1
89632.193,43129.694,43.1
89630.8767,43131.2075,43.1
